#batch_size = 10 | epochs = 40
#seed | (countHitsMotif, countHitsBackground, countMaxValueInMotifRange, avgDiff, mapDiff)
99 | (265, 262, 266, 2.73,  {0: 0, 1: 91, 2: 0, 3: 37, 4: 77, 5: 60, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
100 | (269, 261, 264, 0.79, {0: 101, 1: 119, 2: 63, 3: 0, 4: 0, 5: 0, 6: 0, 7: 2, 8: 0, 9: 0, 10: 0})
101 | (270, 272, 282, 3.34, {0: 0, 1: 0, 2: 44, 3: 96, 4: 88, 5: 53, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
102 | (268, 256, 244, 1.4,  {0: 104, 1: 74, 2: 0, 3: 60, 4: 12, 5: 1, 6: 26, 7: 0, 8: 0, 9: 0, 10: 0})
103 | (281, 270, 284, 1.87, {0: 95, 1: 96, 2: 0, 3: 0, 4: 0, 5: 93, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
104 | (275, 273, 287, 1.24, {0: 102, 1: 92, 2: 0, 3: 93, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
105 | (268, 274, 273, 3.36, {0: 0, 1: 92, 2: 0, 3: 0, 4: 35, 5: 103, 6: 42, 7: 1, 8: 1, 9: 1, 10: 0})
106 | (254, 264, 231, 2.28, {0: 0, 1: 88, 2: 53, 3: 36, 4: 69, 5: 0, 6: 18, 7: 4, 8: 2, 9: 1, 10: 0})
107 | (248, 268, 290, 2.31, {0: 103, 1: 0, 2: 49, 3: 0, 4: 98, 5: 39, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
108 | (288, 243, 286, 3.77, {0: 0, 1: 0, 2: 0, 3: 103, 4: 96, 5: 87, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
109 | (269, 275, 281, 2.83, {0: 92, 1: 0, 2: 0, 3: 0, 4: 99, 5: 89, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
110 | (279, 253, 283, 2.21, {0: 88, 1: 0, 2: 58, 3: 46, 4: 57, 5: 30, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
111 | (277, 276, 270, 3.57, {0: 0, 1: 16, 2: 0, 3: 95, 4: 94, 5: 79, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
112 | (239, 243, 261, 2.54, {0: 0, 1: 28, 2: 103, 3: 46, 4: 54, 5: 12, 6: 13, 7: 6, 8: 1, 9: 0, 10: 0})
113 | (271, 276, 285, 3.67, {0: 0, 1: 0, 2: 41, 3: 59, 4: 85, 5: 99, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
114 | (276, 225, 275, 2.81, {0: 0, 1: 80, 2: 6, 3: 58, 4: 104, 5: 0, 6: 28, 7: 0, 8: 0, 9: 0, 10: 0})
115 | (271, 244, 265, 2.83, {0: 0, 1: 0, 2: 91, 3: 66, 4: 94, 5: 0, 6: 13, 7: 3, 8: 0, 9: 1, 10: 0})
116 | (267, 274, 284, 2.77, {0: 0, 1: 97, 2: 0, 3: 101, 4: 0, 5: 86, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
117 | (266, 212, 243, 1.81, {0: 56, 1: 111, 2: 0, 3: 0, 4: 62, 5: 27, 6: 13, 7: 2, 8: 1, 9: 0, 10: 0})
118 | (261, 282, 282, 2.35, {0: 0, 1: 43, 2: 102, 3: 91, 4: 46, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
119 | (285, 266, 283, 1.94, {0: 0, 1: 88, 2: 90, 3: 105, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
120 | (252, 266, 269, 3.11, {0: 0, 1: 77, 2: 0, 3: 0, 4: 161, 5: 41, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
121 | (288, 265, 269, 2.01, {0: 97, 1: 15, 2: 56, 3: 0, 4: 91, 5: 24, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
122 | (259, 274, 286, 3.98, {0: 0, 1: 0, 2: 0, 3: 44, 4: 148, 5: 95, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
123 | (275, 281, 286, 2.36, {0: 94, 1: 52, 2: 0, 3: 0, 4: 44, 5: 96, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
124 | (250, 248, 232, 2.51, {0: 0, 1: 91, 2: 0, 3: 83, 4: 55, 5: 17, 6: 24, 7: 0, 8: 3, 9: 0, 10: 0})
125 | (283, 264, 288, 2.99, {0: 0, 1: 0, 2: 90, 3: 92, 4: 102, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
126 | (300, 0, 6, 0.16,     {0: 0, 1: 0, 2: 3, 3: 4, 4: 5, 5: 7, 6: 4, 7: 1, 8: 5, 9: 14, 10: 0})
127 | (288, 277, 278, 1.37, {0: 104, 1: 34, 2: 92, 3: 0, 4: 48, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
128 | (267, 250, 271, 2.36, {0: 0, 1: 45, 2: 96, 3: 90, 4: 0, 5: 41, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0})
129 | (263, 249, 277, 1.62, {0: 25, 1: 89, 2: 118, 3: 37, 4: 0, 5: 0, 6: 6, 7: 2, 8: 1, 9: 0, 10: 0})
130 | (246, 255, 261, 2.27, {0: 0, 1: 93, 2: 49, 3: 59, 4: 33, 5: 0, 6: 31, 7: 0, 8: 2, 9: 1, 10: 0})
131 | (280, 256, 289, 2.93, {0: 0, 1: 0, 2: 88, 3: 105, 4: 95, 5: 1, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
132 | (252, 260, 281, 2.65, {0: 43, 1: 61, 2: 0, 3: 59, 4: 76, 5: 0, 6: 41, 7: 0, 8: 2, 9: 0, 10: 0})
133 | (275, 269, 290, 2.08, {0: 94, 1: 90, 2: 0, 3: 0, 4: 0, 5: 105, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
134 | (276, 287, 276, 2.28, {0: 0, 1: 59, 2: 130, 3: 0, 4: 83, 5: 0, 6: 0, 7: 0, 8: 5, 9: 1, 10: 0})
135 | (291, 269, 289, 3.9,  {0: 0, 1: 0, 2: 0, 3: 92, 4: 100, 5: 94, 6: 0, 7: 1, 8: 3, 9: 0, 10: 0})
136 | (295, 256, 283, 3.8,  {0: 0, 1: 0, 2: 0, 3: 89, 4: 97, 5: 97, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
137 | (274, 270, 289, 1.91, {0: 102, 1: 0, 2: 90, 3: 0, 4: 96, 5: 1, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
138 | (272, 280, 261, 1.22, {0: 72, 1: 92, 2: 78, 3: 0, 4: 0, 5: 0, 6: 18, 7: 1, 8: 0, 9: 3, 10: 0})
139 | (266, 264, 288, 2.44, {0: 97, 1: 0, 2: 44, 3: 0, 4: 91, 5: 56, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
140 | (300, 0, 14, 0.36,    {0: 0, 1: 0, 2: 0, 3: 4, 4: 2, 5: 3, 6: 3, 7: 11, 8: 9, 9: 6, 10: 0})
141 | (255, 265, 280, 1.93, {0: 86, 1: 98, 2: 0, 3: 0, 4: 0, 5: 96, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
142 | (270, 257, 270, 1.99, {0: 0, 1: 125, 2: 60, 3: 37, 4: 0, 5: 48, 6: 1, 7: 1, 8: 1, 9: 0, 10: 0})
143 | (272, 283, 288, 3.31, {0: 0, 1: 0, 2: 58, 3: 90, 4: 104, 5: 32, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
144 | (247, 275, 290, 1.27, {0: 97, 1: 49, 2: 99, 3: 45, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
145 | (272, 276, 283, 1.38, {0: 44, 1: 104, 2: 94, 3: 41, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
146 | (258, 258, 283, 3.77, {0: 0, 1: 0, 2: 0, 3: 94, 4: 95, 5: 94, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
147 | (275, 281, 292, 3.03, {0: 92, 1: 0, 2: 0, 3: 0, 4: 104, 5: 92, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
148 | (276, 262, 273, 1.64, {0: 38, 1: 101, 2: 83, 3: 0, 4: 46, 5: 1, 6: 0, 7: 1, 8: 4, 9: 2, 10: 0})
149 | (293, 268, 284, 1.95, {0: 92, 1: 0, 2: 96, 3: 0, 4: 94, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
150 | (285, 281, 291, 3.22, {0: 0, 1: 61, 2: 0, 3: 105, 4: 36, 5: 89, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
151 | (289, 254, 277, 1.77, {0: 48, 1: 91, 2: 33, 3: 57, 4: 45, 5: 1, 6: 0, 7: 1, 8: 3, 9: 0, 10: 0})
152 | (274, 278, 276, 3.67, {0: 0, 1: 13, 2: 0, 3: 96, 4: 93, 5: 85, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
153 | (273, 272, 283, 2.35, {0: 44, 1: 40, 2: 60, 3: 47, 4: 57, 5: 35, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
154 | (271, 273, 288, 1.86, {0: 99, 1: 97, 2: 0, 3: 0, 4: 0, 5: 92, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
155 | (293, 266, 285, 2.34, {0: 0, 1: 46, 2: 102, 3: 95, 4: 42, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
156 | (263, 267, 290, 2.67, {0: 92, 1: 0, 2: 33, 3: 0, 4: 103, 5: 58, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
157 | (259, 265, 259, 2.87, {0: 0, 1: 45, 2: 0, 3: 96, 4: 69, 5: 49, 6: 1, 7: 0, 8: 4, 9: 0, 10: 0})
158 | (300, 0, 2, 0.05,     {0: 0, 1: 5, 2: 14, 3: 1, 4: 2, 5: 1, 6: 7, 7: 5, 8: 1, 9: 7, 10: 0})
159 | (286, 267, 271, 2.73, {0: 36, 1: 65, 2: 0, 3: 58, 4: 45, 5: 80, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
160 | (285, 255, 288, 2.89, {0: 0, 1: 0, 2: 98, 3: 88, 4: 102, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
161 | (292, 262, 261, 0.55, {0: 97, 1: 164, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 2, 8: 2, 9: 0, 10: 0})
