# seed | (motifHits, avgDiff, mapDiff)
90  | (279, 3.41,   {0: 0, 1: 0, 2: 97, 3: 0, 4: 85, 5: 97, 6: 0, 7: 1, 8: 1, 9: 0, 10: 1})
91  | (288, 0.30,   {0: 197, 1: 91, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1})
92  | (207, 0.51,   {0: 85, 1: 144, 2: 23, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 2})
93  | (6, 0.15,     {0: 0, 1: 0, 2: 0, 3: 2, 4: 2, 5: 2, 6: 5, 7: 4, 8: 5, 9: 5, 10: 5})
94  | (121, 1.28,   {0: 0, 1: 23, 2: 58, 3: 2, 4: 60, 5: 2, 6: 0, 7: 3, 8: 4, 9: 1, 10: 7})
95  | (12, 0.33,    {0: 0, 1: 0, 2: 6, 3: 4, 4: 2, 5: 3, 6: 4, 7: 2, 8: 13, 9: 7, 10: 7})
96  | (216, 2.59,   {0: 0, 1: 0, 2: 31, 3: 80, 4: 83, 5: 2, 6: 14, 7: 5, 8: 4, 9: 3, 10: 1})
97  | (256, 3.52,   {0: 0, 1: 0, 2: 0, 3: 91, 4: 85, 5: 45, 6: 27, 7: 10, 8: 2, 9: 0, 10: 1})
98  | (7, 0.18,     {0: 0, 1: 1, 2: 0, 3: 3, 4: 2, 5: 1, 6: 6, 7: 7, 8: 7, 9: 4, 10: 6})
99  | (284, 2.94,   {0: 90, 1: 0, 2: 0, 3: 0, 4: 97, 5: 94, 6: 0, 7: 1, 8: 3, 9: 0, 10: 0})
100 | (86, 1.39,    {0: 0, 1: 42, 2: 1, 3: 0, 4: 51, 5: 2, 6: 37, 7: 3, 8: 6, 9: 0, 10: 2})
101 | (152, 1.87,   {0: 0, 1: 1, 2: 58, 3: 0, 4: 47, 5: 45, 6: 1, 7: 4, 8: 1, 9: 2, 10: 2})
102 | (197, 2.76,   {0: 1, 1: 89, 2: 0, 3: 0, 4: 162, 5: 31, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
103 | (18, 0.29,    {0: 0, 1: 94, 2: 2, 3: 0, 4: 17, 5: 0, 6: 1, 7: 4, 8: 0, 9: 4, 10: 3})
104 | (292, 0.94,   {0: 101, 1: 99, 2: 92, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
105 | (248, 2.18,   {0: 52, 1: 60, 2: 0, 3: 42, 4: 1, 5: 94, 6: 0, 7: 0, 8: 1, 9: 0, 10: 2})
106 | (115, 1.17,   {0: 6, 1: 49, 2: 26, 3: 68, 4: 7, 5: 1, 6: 1, 7: 5, 8: 5, 9: 7, 10: 0})
107 | (207, 2.28,   {0: 0, 1: 69, 2: 0, 3: 0, 4: 156, 5: 1, 6: 1, 7: 0, 8: 4, 9: 0, 10: 3})
108 | (288, 0.93,   {0: 103, 1: 91, 2: 94, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
109 | (265, 3.93,   {0: 0, 1: 0, 2: 78, 3: 0, 4: 0, 5: 97, 6: 91, 7: 1, 8: 1, 9: 1, 10: 0})
110 | (281, 2.74,   {0: 101, 1: 0, 2: 0, 3: 0, 4: 84, 5: 95, 6: 0, 7: 0, 8: 5, 9: 0, 10: 1})
111 | (202, 2.31,   {0: 0, 1: 58, 2: 45, 3: 16, 4: 1, 5: 3, 6: 85, 7: 0, 8: 0, 9: 0, 10: 2})
112 | (237, 1.30,   {0: 49, 1: 45, 2: 102, 3: 37, 4: 3, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 2})
113 | (5, 0.12,     {0: 1, 1: 1, 2: 2, 3: 0, 4: 3, 5: 3, 6: 2, 7: 4, 8: 1, 9: 5, 10: 6})
114 | (177, 0.58,   {0: 95, 1: 136, 2: 0, 3: 0, 4: 28, 5: 0, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
115 | (270, 0.48,   {0: 174, 1: 89, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 9, 9: 0, 10: 0})
116 | (200, 3.05,   {0: 0, 1: 0, 2: 0, 3: 0, 4: 147, 5: 0, 6: 46, 7: 6, 8: 7, 9: 0, 10: 0})
117 | (255, 1.33,   {0: 85, 1: 39, 2: 83, 3: 1, 4: 47, 5: 1, 6: 0, 7: 1, 8: 2, 9: 1, 10: 0})
118 | (219, 2.98,   {0: 0, 1: 0, 2: 57, 3: 4, 4: 49, 5: 102, 6: 7, 7: 0, 8: 2, 9: 4, 10: 3})
119 | (243, 2.35,   {0: 92, 1: 0, 2: 1, 3: 0, 4: 58, 5: 92, 6: 1, 7: 1, 8: 1, 9: 1, 10: 0})
120 | (218, 3.21,   {0: 0, 1: 50, 2: 0, 3: 0, 4: 2, 5: 105, 6: 56, 7: 8, 8: 3, 9: 1, 10: 2})
121 | (243, 2.74,   {0: 0, 1: 0, 2: 0, 3: 149, 4: 94, 5: 3, 6: 0, 7: 0, 8: 2, 9: 1, 10: 1})
122 | (246, 3.89,   {0: 0, 1: 0, 2: 0, 3: 0, 4: 121, 5: 75, 6: 50, 7: 1, 8: 4, 9: 0, 10: 4})
123 | (147, 2.25,   {0: 0, 1: 0, 2: 2, 3: 38, 4: 2, 5: 105, 6: 1, 7: 5, 8: 2, 9: 2, 10: 5})
124 | (286, 1.82,   {0: 102, 1: 0, 2: 94, 3: 0, 4: 90, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
125 | (251, 2.38,   {0: 25, 1: 39, 2: 94, 3: 0, 4: 41, 5: 0, 6: 51, 7: 1, 8: 6, 9: 0, 10: 1})
126 | (282, 2.78,   {0: 96, 1: 0, 2: 0, 3: 0, 4: 99, 5: 86, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
127 | (275, 2.52,   {0: 84, 1: 39, 2: 0, 3: 0, 4: 46, 5: 105, 6: 0, 7: 0, 8: 0, 9: 1, 10: 1})
128 | (244, 3.12,   {0: 0, 1: 0, 2: 0, 3: 95, 4: 93, 5: 57, 6: 2, 7: 0, 8: 0, 9: 1, 10: 1})
129 | (281, 2.04,   {0: 93, 1: 0, 2: 82, 3: 0, 4: 100, 5: 0, 6: 0, 7: 0, 8: 5, 9: 1, 10: 0})
130 | (14, 0.35,    {0: 0, 1: 2, 2: 7, 3: 5, 4: 5, 5: 4, 6: 4, 7: 7, 8: 4, 9: 9, 10: 6})
